id,gmc,c,cf,stom,blood,factc,horm,ct,gmt,t,alarm,doors,factt,gmm,pain,fm,m,som,factm
9403_23131,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0
5339_23131,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
8370_23131,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
2711_23131,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1045_23131,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0
6571_23131,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0
5305_23131,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0
2270_23131,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
877_23131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7855_23131,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
4122_23131,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1
7025_23131,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4725_23131,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0
5714_23131,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
2791_23131,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
1615_23131,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
6284_23131,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0
9739_23131,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1
4080_23131,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
655_23131,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4368_23131,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1895_23131,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
7796_23131,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
7959_23131,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0
6485_23131,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
1188_23131,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0
2230_23131,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1
3719_23131,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
6910_23131,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
862_23131,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
2875_23131,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
4655_23131,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
5557_23131,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0
4003_23131,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
7005_23131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2311_23131,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0
2021_23131,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
9312_23131,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1478_23131,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2194_23131,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0
9225_23131,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7068_23131,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8260_23131,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
2368_23131,1,1,0,0,0,1,0,Pilule,0,0,0,0,0,0,0,0,0,0,0
6037_23131,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9309_23131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9812_23131,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0
6116_23131,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
8387_23131,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1884_23131,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0
1466_23131,1,1,1,1,0,0,0,Pilule,1,0,1,0,1,1,1,1,0,0,0
7493_23131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3205_23132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7808_23132,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1103_23132,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1496_23132,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0
8620_23132,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0
312_23132,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1
5952_23132,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8245_23132,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
7776_23132,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
8884_23132,1,1,0,0,0,0,0,Pilule,1,1,1,0,0,1,1,0,0,0,0
8645_23132,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1
4623_23132,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0
6218_23132,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8072_23132,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7851_23132,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
118_23132,1,1,1,1,0,0,0,Pilule,1,0,1,0,0,0,0,0,0,0,0
551_23132,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
9948_23132,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
7220_23132,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1754_23132,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
7148_23132,1,1,0,0,0,0,0,Pilule,1,1,0,0,0,1,1,0,1,0,0
151_23132,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3172_23132,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0
5009_23132,1,1,1,0,0,0,0,Pilule,0,0,0,0,0,1,1,1,0,1,1
5266_23132,1,1,0,1,0,0,0,Pilule,0,0,0,0,0,0,0,0,0,0,0
3591_23132,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1
9694_23132,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1
8858_23132,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
4956_23132,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2719_23132,1,1,0,1,1,1,0,Pilule,1,1,0,0,0,1,1,0,1,0,1
8301_23135,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6667_23135,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0
7356_23135,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4553_23135,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
3201_23135,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0
262_23135,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0
4763_23135,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5314_23135,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
2136_23135,1,1,1,1,0,0,0,Pilule,1,1,0,0,0,1,0,1,0,0,0
537_23135,1,1,1,0,0,0,0,Pilule,1,0,0,0,0,0,0,0,0,0,0
5381_23135,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0
2268_23135,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
777_23135,1,1,0,0,0,1,0,Pilule,0,0,0,0,0,1,1,0,0,0,1
8588_23135,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4694_23135,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0
5029_23135,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0
5735_23135,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0
9090_23135,1,1,1,1,0,0,0,Pilule,1,1,1,0,0,1,0,1,0,0,0
5694_23135,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1
7754_23135,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
5537_23135,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
4781_23135,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
8839_23135,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
4005_23135,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7321_23135,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354_23135,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0
8834_23135,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
1955_23135,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
6546_23135,1,1,0,1,0,0,0,Pilule,0,0,0,0,0,1,0,0,0,0,0
2650_23135,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0
3879_23135,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2838_23135,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
236_23135,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
8011_23135,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0
5478_23135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8727_23135,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
4625_23135,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2254_23135,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7916_23136,1,1,0,1,1,0,0,Pillule,1,1,1,1,0,1,1,0,1,1,1
3725_23136,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1
7220_23136,1,1,1,0,0,0,0,Pilule,1,1,0,1,0,1,0,0,0,0,0
7362_23136,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
1127_23136,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0
565_23136,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
2549_23136,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0
1000_23136,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4283_23136,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0
3743_23136,1,1,0,1,0,0,0,Pilule,0,0,0,0,0,1,1,0,1,1,0
2606_23136,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2195_23136,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1
4345_23136,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0
349_23136,1,0,0,0,0,0,0,Pilule,1,0,0,0,1,0,0,0,0,0,0
6810_23136,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4048_23136,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
169_23136,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0
3790_23137,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4244_23137,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5763_23137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8949_23137,1,1,0,0,1,1,0,Pilule,1,1,0,0,0,0,0,0,0,0,0
9603_23137,1,1,0,0,0,1,0,Pilule,1,0,0,0,0,0,0,0,0,0,0
6298_23137,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9524_23137,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2284_23137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5311_23137,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
9285_23137,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1844_23137,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1
754_23137,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
7808_23137,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
2987_23137,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103_23137,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
5661_23137,1,1,0,0,0,0,0,Pilule,1,1,1,0,0,0,0,0,0,0,0
312_23137,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4456_23137,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3961_23137,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
5952_23137,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5075_23137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8884_23137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3363_23137,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
8318_23137,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
6076_23137,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8072_23137,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0
551_23137,1,1,0,1,0,1,0,Pilule,0,0,0,0,0,0,0,0,0,0,0
9948_23137,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8608_23137,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
1025_23137,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1754_23137,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5009_23137,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0
151_23137,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5266_23137,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3591_23137,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
4713_23137,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9694_23137,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1
1866_23137,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3321_23137,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0
3254_23137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451_23137,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
6521_23137,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0
1106_23137,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0
3492_23137,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,
9304_23137,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7625_23137,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4981_23137,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
7876_23137,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0
343_23143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
679_23143,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3790_23143,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0
4244_23143,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0
6773_23143,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
9603_23143,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
1914_23143,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2262_23143,1,1,0,0,1,9,9,9,1,0,0,0,0,1,1,1,0,0,0
6298_23143,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0
9524_23143,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2284_23143,1,1,1,0,0,1,1,Pilule,1,0,0,0,0,0,0,0,0,0,0
8146_23143,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
754_23143,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
6107_23144,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5661_23144,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
5385_23144,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5156_23144,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
3921_23144,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
4456_23144,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
5952_23144,1,1,1,0,0,0,0,The person precised that it's a drug contraceptive,1,0,0,1,0,1,0,1,0,0,0
7776_23144,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
8245_23144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8043_23144,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0
8645_23144,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3363_23144,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
9995_23144,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141_23144,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2875_23144,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
8072_23144,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1503_23144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7851_23144,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9948_23144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8732_23144,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1395_23144,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
8309_23144,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0
1754_23144,1,1,0,0,1,1,0,Pilule,1,1,1,1,0,1,1,0,1,0,1
7220_23144,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
7148_23144,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3172_23144,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5266_23144,1,1,0,1,1,0,0,Pilule,1,1,0,0,0,1,1,0,0,0,0
9251_23144,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2719_23144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4774_23144,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1
4713_23144,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1
3321_23144,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5636_23144,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
343_23145,1,1,0,0,0,1,0,Pilule,0,0,0,0,0,1,1,0,0,0,0
9603_23145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3790_23145,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
5763_23145,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
6298_23145,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0
8949_23145,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
245_23145,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
2284_23145,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
981_23145,1,1,0,0,0,0,0,Pilule,1,0,0,0,0,0,0,0,0,0,0
8146_23145,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0
9524_23145,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
754_23145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7763_23145,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0
1382_23145,1,1,0,0,0,1,0,Pilule,0,0,0,0,0,0,0,0,0,0,0
8620_23145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3205_23145,1,1,1,1,0,1,0,Pillule,1,0,1,0,1,1,1,0,0,0,0
1103_23145,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
5156_23145,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
5661_23145,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
3921_23145,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1
4623_23145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3363_23145,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8072_23145,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
7851_23145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2875_23145,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0
9948_23145,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
8309_23145,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6311_23145,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0
